"ttkVertexScalarField","CriticalType","Coordinates:0","Coordinates:1","Coordinates:2","Points:0","Points:1","Points:2"
869,2,0.933334,0.866668,-1,-7.3008,-7.3008,0
898,3,0.866668,0.933334,-1,-7.3008,-7.3008,0
11483,0,0.533334,0.466667,-0.2,-7.3008,-7.3008,0
11484,1,0.600001,0.466667,-0.2,-7.3008,-7.3008,0
12233,0,0.533334,0.133334,-0.133333,-7.3008,-7.3008,0
12234,1,0.600001,0.133334,-0.133333,-7.3008,-7.3008,0
12261,0,0.400001,0.200001,-0.133333,-7.3008,-7.3008,0
12262,1,0.466667,0.200001,-0.133333,-7.3008,-7.3008,0
13188,0,0.200001,0.266667,-0.0666662,-7.3008,-7.3008,0
13189,1,0.266667,0.266667,-0.0666662,-7.3008,-7.3008,0
13972,0,0.466667,4.76837e-07,4.76837e-07,-7.3008,-7.3008,0
13973,1,0.533334,4.76837e-07,4.76837e-07,-7.3008,-7.3008,0
16669,0,0.266667,4.76837e-07,0.200001,-7.3008,-7.3008,0
16670,1,0.333334,4.76837e-07,0.200001,-7.3008,-7.3008,0
26101,2,-0.933333,-1,0.933334,-7.3008,-7.3008,0
26128,3,0.866668,-1,0.933334,-7.3008,-7.3008,0
26984,2,-0.0666662,0.933334,0.933334,-7.3008,-7.3008,0
26997,3,0.800001,0.933334,0.933334,-7.3008,-7.3008,0
26323,0,-0.133333,-0.533333,0.933334,-7.28305,-7.28305,0
26294,1,-0.0666662,-0.6,0.933334,-7.28305,-7.23434,0
8325,0,4.76837e-07,-0.533333,-0.4,-7.27691,-7.27691,0
8296,1,0.0666672,-0.6,-0.4,-7.27691,-7.2657,0
21313,0,-0.133333,0.333334,0.533334,-7.27094,-7.27094,0
22121,1,-0.266666,0.133334,0.600001,-7.27094,-6.94951,0
26773,0,-0.133333,0.466667,0.933334,-7.25091,-7.25091,0
26743,1,-0.133333,0.400001,0.933334,-7.25091,-7.22867,0
16179,0,-0.4,0.933334,0.133334,-7.23954,-7.23954,0
16176,1,-0.6,0.933334,0.133334,-7.23954,-7.22021,0
20412,0,-0.2,0.333334,0.466667,-7.23832,-7.23832,0
20413,1,-0.133333,0.333334,0.466667,-7.23832,-7.16179,0
21344,0,-0.0666662,0.400001,0.533334,-7.20781,-7.20781,0
21314,1,-0.0666662,0.333334,0.533334,-7.20781,-7.19071,0
20381,0,-0.266666,0.266667,0.466667,-7.18858,-7.18858,0
20382,1,-0.2,0.266667,0.466667,-7.18858,-7.15841,0
11022,0,-0.2,-0.533333,-0.2,-7.17881,-7.17881,0
10123,1,-0.133333,-0.533333,-0.266666,-7.17881,-7.16795,0
20443,0,-0.133333,0.400001,0.466667,-7.17488,-7.17488,0
20413,1,-0.133333,0.333334,0.466667,-7.17488,-7.16179,0
20350,0,-0.333333,0.200001,0.466667,-7.17291,-7.17291,0
20380,1,-0.333333,0.266667,0.466667,-7.17291,-7.09957,0
7576,0,0.0666672,-0.2,-0.466666,-7.16249,-7.16249,0
7513,1,-0.133333,-0.333333,-0.466666,-7.16249,-7.10106,0
7544,0,-0.0666662,-0.266666,-0.466666,-7.14219,-7.14219,0
7545,1,4.76837e-07,-0.266666,-0.466666,-7.14219,-7.10204,0
21251,0,-0.266666,0.200001,0.533334,-7.13362,-7.13362,0
20351,1,-0.266666,0.200001,0.466667,-7.13362,-7.0799,0
17412,0,-0.2,-0.333333,0.266667,-7.07466,-7.07466,0
15581,1,-0.266666,-0.4,0.133334,-7.07466,-6.82496,0
19449,0,-0.4,0.200001,0.400001,-7.06526,-7.06526,0
20349,1,-0.4,0.200001,0.466667,-7.06526,-7.04847,0
18313,0,-0.133333,-0.333333,0.333334,-6.88609,-6.88609,0
17413,1,-0.133333,-0.333333,0.266667,-6.88609,-6.86876,0
6770,0,0.333334,4.76837e-07,-0.533333,-6.78394,-6.78394,0
6740,1,0.333334,-0.0666662,-0.533333,-6.78394,-6.73422,0
19214,0,-0.0666662,-0.333333,0.400001,-6.48583,-6.48583,0
18314,1,-0.0666662,-0.333333,0.333334,-6.48583,-6.47618,0
20356,2,0.0666672,0.200001,0.466667,-5.76799,-5.76799,0
19456,3,0.0666672,0.200001,0.400001,-5.76799,-5.75906,0
22995,2,4.76837e-07,0.0666672,0.666667,-4.11717,-4.11717,0
22965,3,4.76837e-07,4.76837e-07,0.666667,-4.11717,-4.07067,0
20540,2,0.333334,0.600001,0.466667,-3.10294,-3.10294,0
23149,3,0.266667,0.400001,0.666667,-3.10294,-2.19445,0
18770,2,0.333334,0.666667,0.333334,-2.8967,-2.8967,0
19670,3,0.333334,0.666667,0.400001,-2.8967,-2.86803,0
16065,2,4.76837e-07,0.666667,0.133334,-2.75716,-2.75716,0
17868,3,0.200001,0.666667,0.266667,-2.75716,-2.49608,0
15164,2,-0.0666662,0.666667,0.0666672,-2.68553,-2.68553,0
15165,3,4.76837e-07,0.666667,0.0666672,-2.68553,-2.68019,0
16067,2,0.133334,0.666667,0.133334,-2.68548,-2.68548,0
16066,3,0.0666672,0.666667,0.133334,-2.68548,-2.66167,0
17869,2,0.266667,0.666667,0.266667,-2.64719,-2.64719,0
17899,3,0.266667,0.733334,0.266667,-2.64719,-2.60195,0
16968,2,0.200001,0.666667,0.200001,-2.57547,-2.57547,0
16967,3,0.133334,0.666667,0.200001,-2.57547,-2.5547,0
9156,2,-0.6,-0.666667,-0.333333,-2.50538,-2.50538,0
19058,3,-0.466666,-0.666667,0.400001,-2.50538,0.4947,0
8747,2,0.133334,0.400001,-0.4,-2.3523,-2.3523,0
8779,3,0.266667,0.466667,-0.4,-2.3523,-1.99032,0
10283,2,0.533334,-0.2,-0.266666,-2.35062,-2.35062,0
8544,3,0.600001,-0.0666662,-0.4,-2.35062,-1.71253,0
4718,2,-0.466666,-0.533333,-0.666667,-2.06206,-2.06206,0
5587,3,-0.533333,-0.6,-0.6,-2.06206,-1.9698,0
4871,2,-0.266666,-0.2,-0.666667,-1.80775,-1.80775,0
3018,3,0.200001,-0.333333,-0.8,-1.80775,-0.555851,0
17765,2,-0.666667,0.466667,0.266667,-1.19923,-1.19923,0
22327,3,-0.533333,0.600001,0.600001,-1.19923,-0.716763,0
20495,2,-0.666667,0.533334,0.466667,-1.17343,-1.17343,0
18665,3,-0.666667,0.466667,0.333334,-1.17343,-1.1491,0
21427,2,-0.533333,0.600001,0.533334,-0.831168,-0.831168,0
21426,3,-0.6,0.600001,0.533334,-0.831168,-0.717696,0
3917,2,0.133334,-0.333333,-0.733333,-0.708257,-0.708257,0
3886,3,0.0666672,-0.4,-0.733333,-0.708257,-0.610663,0
8591,2,-0.266666,0.0666672,-0.4,-0.68023,-0.68023,0
6881,3,-0.266666,0.266667,-0.533333,-0.68023,0.760564,0
12975,2,4.76837e-07,-0.2,-0.0666662,-0.581926,-0.581926,0
14658,3,0.200001,-0.466666,0.0666672,-0.581926,0.637574,0
14080,2,-0.333333,0.266667,4.76837e-07,0.0379312,0.0379312,0
13298,3,-0.466666,0.533334,-0.0666662,0.0379312,0.596675,0
14688,2,0.200001,-0.4,0.0666672,0.353324,0.353324,0
13788,3,0.200001,-0.4,4.76837e-07,0.353324,0.444253,0
15558,2,0.200001,-0.466666,0.133334,0.548125,0.548125,0
15528,3,0.200001,-0.533333,0.133334,0.548125,0.623756,0
15529,2,0.266667,-0.533333,0.133334,0.582916,0.582916,0
16429,3,0.266667,-0.533333,0.200001,0.582916,0.598442,0
